,Unnamed: 0,tick,num_streak,streak_start_date,streak_end_date,payout_period,lastest_amount,incremental_percentage,number_survive_proof,latest_survive_streak,number_survive_years,exchange,industry,sector,share_volume,trade_volume,market_cap,highlow_today,highlow_52,previous_close,_pe,_yield,_eps,_annualized_dividend
10,10,CCI,34,03/18/2014,06/14/2022,2.911764705882353,$1.47,134.2857142857143,1,2014,8,NYSE,Real Estate,Real Estate Investment Trusts,"2,245,103","1,987,588","75,776,213,508",$175.67/$169.35,$209.87/$153.70,$171.58,52.08,3.5%,$3.36,$5.88
11,11,RRR,2,03/14/2022,06/15/2022,3.5,$0.25,0.0,0,2022,6,NASDAQ-GS,Consumer Discretionary,Recreational Games/Products/Toys,"1,450,704","727,039","2,173,650,344",$35.59/$33.06,$58.74/$31.68,$32.72,8.58,3.03%,$4.12,$1.00
12,12,DAIO,1,03/09/1989,03/09/1989,0.0,$4.15,0.0,0,1989,33,NASDAQ-CM,Technology,Industrial Machinery/Components,"26,320","12,136","25,872,513",$3.11/$3.00,$7.52/$2.95,$3.10,0.0,N/A,$-0.23,N/A
13,13,PFBC,31,01/02/2015,07/06/2022,3.0,$0.43,26.66666666666667,1,2015,21,NASDAQ-GS,Finance,Major Banks,"132,357","68,839","1,007,325,694",$68.24/$66.17,$81.97/$57.27,$66.07,10.09,2.56%,$6.74,$1.72
14,14,TXN,87,10/27/2000,05/06/2022,2.9770114942528734,$1.15,100.0,3,2000,22,NASDAQ-GS,Technology,Semiconductors,"6,425,872","6,114,513","143,806,773,128",$156.13/$152.49,$202.26/$149.10,$151.14,17.84,3.01%,$8.74,$4.60
15,15,RWAY,3,11/05/2021,05/09/2022,2.0,$0.30,11.1111111111111,0,2021,1,NASDAQ-GS,N/A,N/A,"135,057","85,650","468,601,389",$11.80/$11.18,$14.92/$11.00,$11.21,N/A,10.54%,N/A,$1.20
16,16,CBTX,19,12/29/2017,06/28/2022,2.8421052631578947,$0.13,100.0,1,2017,5,NASDAQ-GS,Finance,Major Banks,"180,586","73,790","666,214,274",$27.60/$27.13,$32.38/$24.72,$27.05,18.37,1.88%,$1.48,$0.52
17,17,LKQ,3,11/09/2021,05/18/2022,2.0,$0.25,0.0,0,2021,1,NASDAQ-GS,Consumer Discretionary,Automotive Aftermarket,"2,386,144","1,872,417","14,119,020,265",$50.08/$48.48,$60.43/$42.36,$48.41,13.38,2.08%,$3.73,$1.00
18,18,OXLCO,12,09/15/2021,08/16/2022,0.9166666666666666,$0.125,0.0,0,2021,1,NASDAQ-GS,Finance,Finance Companies,"3,370",N/A,N/A,$23.10/$22.84,$26.00/$22.11,$22.50,N/A,6.67%,N/A,$1.50
19,19,RSG,39,09/27/2013,06/30/2022,2.6923076923076925,$0.46,8.695652173913047,1,2013,9,NYSE,Utilities,Environmental Services,"1,781,654","1,141,207","41,034,227,520",$130.24/$127.28,$145.98/$107.71,$126.71,30.78,1.47%,$4.22,$1.84
20,20,HRZN,123,08/19/2011,08/17/2022,1.0975609756097562,$0.10,50.0,1,2011,0,NASDAQ-GS,Finance,Finance/Investors Services,"191,115","211,477","279,850,778",$11.67/$11.37,$19.08/$10.55,$11.30,9.41,10.76%,$1.24,$1.20
21,21,RPRX,8,09/14/2020,05/19/2022,2.5,$0.19,13.333333333333345,1,2020,2,NASDAQ-GS,Health Care,Biotechnology: Pharmaceutical Preparations,"8,184,866","2,326,589","18,805,669,344",$43.56/$41.20,$44.75/$34.86,$41.08,43.2,1.91%,$1.00,$0.76
22,22,HSTM,1,03/05/2018,03/05/2018,0.0,$1.00,0.0,0,2018,4,NASDAQ-GS,Consumer Discretionary,Business Services,"361,333","121,084","649,335,544",$21.43/$20.66,$31.11/$18.51,$20.91,101.05,N/A,$0.21,N/A
23,23,FBMS,45,05/10/2011,05/09/2022,3.0,$0.18,40.0,1,2011,18,NASDAQ-GM,Finance,Major Banks,"184,074","67,718","606,704,554",$29.60/$28.68,$42.89/$27.85,$28.73,9.66,2.48%,$3.06,$0.72
24,24,NEPT,1,10/11/2012,10/11/2012,0.0,$0.003416,0.0,0,2012,10,NASDAQ-CM,N/A,N/A,"2,950,060","94,362","8,202,856",$1.87/$1.33,$43.75/$1.59,$1.60,0.0,N/A,$-19.93,N/A
25,25,OTEX,37,05/29/2013,06/02/2022,2.945945945945946,$0.2209,15.94202898550725,1,2013,9,NASDAQ-GS,N/A,N/A,"638,841","604,331","10,609,213,311",$39.70/$38.78,$55.25/$35.04,$38.40,22.78,2.36%,$1.74,$0.884
26,26,JMSB,1,05/09/2022,05/09/2022,0.0,$0.20,0.0,0,2022,0,NASDAQ-CM,Finance,Major Banks,"1,261,284",N/A,"342,963,422",$26.54/$23.94,$29.50/$21.03,$25.68,N/A,N/A,N/A,N/A
27,27,CCBG,33,06/05/2014,06/03/2022,3.0,$0.16,50.0,1,2014,25,NASDAQ-GS,Finance,Major Banks,"105,183","25,655","473,008,270",$28.44/$27.49,$29.00/$22.02,$27.34,14.54,2.31%,$1.92,$0.64
28,28,GAINZ,6,10/14/2021,01/12/2023,2.5,$0.3046875,23.287669569987173,0,2021,1,NASDAQ-GS,Finance,Investment Bankers/Brokers/Service,"1,091",N/A,N/A,$23.48/$23.14,$27.44/$22.80,$23.4041,N/A,5.21%,N/A,$1.2188
29,29,EQBK,4,09/29/2021,06/29/2022,2.25,$0.08,0.0,0,2021,1,NASDAQ-GS,Finance,Finance: Consumer Services,"262,598","49,188","486,501,447",$31.10/$29.87,$36.00/$28.01,$30.21,8.87,1.03%,$3.37,$0.32
30,30,GPRE,24,09/03/2013,05/23/2019,2.833333333333333,$0.12,100.0,0,2013,9,NASDAQ-GS,Industrials,Major Chemicals,"2,392,916","1,144,680","1,446,190,288",$29.04/$26.63,$44.27/$26.09,$28.16,0.0,N/A,$-2.32,N/A
31,31,AMT,37,06/13/2013,06/16/2022,2.918918918918919,$1.43,10.526315789473683,1,2013,9,NYSE,Finance,"Trusts, Except Educational, Religious, and Charitable","3,131,490","1,822,023","121,806,557,170",$262.13/$256.58,$303.72/$220.00,$258.31,45.27,2.27%,$5.78,$5.72
32,32,DGX,37,06/28/2013,07/05/2022,2.945945945945946,$0.66,15.151515151515142,1,2013,9,NYSE,Health Care,Medical Specialities,"995,065","1,343,334","16,467,487,079",$140.48/$137.46,$174.16/$125.33,$137.42,9.34,1.97%,$15.02,$2.64
33,33,NWE,70,03/22/2005,06/14/2022,2.9571428571428573,$0.63,24.0,2,2005,17,NASDAQ-GS,Utilities,Power Generation,"488,029","309,612","3,143,301,747",$58.77/$56.01,$65.62/$53.66,$56.91,16.88,4.5%,$3.44,$2.52
34,34,CSQ,214,06/09/2004,06/10/2022,1.0093457943925233,$0.1025,38.82926829268294,2,2004,0,NASDAQ-GS,Finance,Finance Companies,"286,135","301,856","2,151,835,500",$13.70/$13.27,$19.89/$12.51,$13.26,N/A,9.28%,N/A,$1.23
35,35,DALN,47,08/10/2011,08/11/2022,2.872340425531915,$0.16,2712.5,1,2011,14,NASDAQ-CM,Consumer Discretionary,Newspapers/Magazines,"2,478","8,324","33,399,538",$6.39/$6.23,$8.39/$5.99,$6.25,0.0,10.17%,$-0.07,$0.64
36,36,ATRI,78,11/26/2003,06/14/2022,2.8846153846153846,$1.95,1685.7142857142856,2,2003,34,NASDAQ-GS,Health Care,Medical/Dental Instruments,"11,886","4,017","1,160,821,953",$646.66/$641.00,$805.62/$585.27,$628.88,34.64,1.26%,$18.67,$7.80
37,37,UPS,36,08/15/2013,05/13/2022,2.9166666666666665,$1.52,49.01960784313727,1,2013,9,NYSE,Consumer Discretionary,Air Freight/Delivery Services,"4,826,547","4,245,182","160,161,371,588",$184.62/$180.77,$233.72/$165.34,$178.63,14.96,3.45%,$12.25,$6.08
38,38,OBT,4,09/02/2021,06/01/2022,2.25,$0.20,0.0,0,2021,1,NASDAQ-CM,Finance,Major Banks,"4,608","3,608","198,072,418",$36.40/$35.11,$42.61/$33.80,$37.23,8.49,2.13%,$4.14,$0.80
39,39,JD,1,05/19/2022,05/19/2022,0.0,$1.26,0.0,0,2022,0,NASDAQ-GS,Consumer Discretionary,Catalog/Specialty Distribution,"11,412,587","13,586,676","99,967,463,492",$64.84/$62.60,$92.69/$41.56,$61.90,0.0,N/A,$-1.02,N/A
40,40,OZK,99,10/08/1997,04/13/2022,2.9696969696969697,$0.31,66.66666666666669,3,1997,25,NASDAQ-GS,Finance,Major Banks,"748,568","944,129","4,524,803,811",$37.70/$36.30,$51.39/$34.79,$36.18,8.66,3.38%,$4.35,$1.24
41,41,CNOB,97,04/15/1998,05/13/2022,3.020618556701031,$0.155,83.33333333333334,3,1998,26,NASDAQ-GS,Finance,Major Banks,"263,415","162,943","996,805,797",$25.55/$24.98,$37.00/$24.17,$24.94,8.01,2.44%,$3.15,$0.62
42,42,PTVE,6,02/11/2021,05/27/2022,2.5,$0.10,0.0,0,2021,1,NASDAQ-GS,Consumer Discretionary,Containers/Packaging,"947,054","278,431","1,735,820,288",$10.07/$9.74,$16.49/$8.71,$9.76,21.71,4.12%,$0.45,$0.40
43,43,WHF,42,12/26/2012,06/16/2022,2.7142857142857144,$0.355,228.7037037037037,1,2012,10,NASDAQ-GS,Finance,Finance Companies,"61,329","73,767","295,884,510",$12.85/$12.63,$16.22/$12.35,$12.52,9.79,11.22%,$1.30,$1.42
44,44,SSSSL,2,03/14/2022,06/14/2022,1.5,$0.375,-1.4210854715202004e-14,0,2022,0,NASDAQ-GM,N/A,N/A,992,N/A,N/A,$24.95/$24.75,$25.95/$24.71,$24.8785,N/A,6.03%,N/A,$1.50
45,45,GLPI,36,01/09/2014,06/09/2022,2.805555555555556,$0.705,187.5,1,2014,8,NASDAQ-GS,Real Estate,Real Estate Investment Trusts,"1,773,537","1,566,662","11,632,108,678",$47.05/$45.85,$51.46/$41.81,$45.59,21.36,6.24%,$2.20,$2.82
46,46,HQI,8,08/31/2020,05/31/2022,2.625,$0.06,20.0,1,2020,2,NASDAQ-CM,Consumer Discretionary,Diversified Commercial Services,"607,715","34,837","189,565,131",$14.36/$12.42,$25.69/$11.80,$13.56,21.83,1.91%,$0.63,$0.24
47,47,CLAR,6,02/05/2021,05/06/2022,3.0,$0.025,0.0,0,2021,4,NASDAQ-GS,Consumer Discretionary,Recreational Games/Products/Toys,"1,214,088","1,207,693","755,674,462",$20.32/$19.50,$32.36/$17.43,$19.54,29.35,0.54%,$0.68,$0.10
48,48,STCN,1,03/15/2011,01/20/2015,0.0,$0.00,0.0,0,2011,11,NASDAQ-CM,Consumer Discretionary,Advertising,"18,344","74,816","81,538,358",$1.35/$1.34,$2.45/$0.92,$1.34,0.0,N/A,$-0.40,N/A
49,49,CHSCN,33,06/12/2014,06/16/2022,2.909090909090909,$0.44375,0.0,1,2014,8,NASDAQ-GS,Consumer Staples,Tobacco,"27,859",N/A,N/A,$26.33/$25.86,$28.87/$24.02,$25.91,N/A,6.85%,N/A,$1.775
50,50,CPHC,2,03/30/2022,06/29/2022,2.5,$0.07,0.0,0,2022,20,NASDAQ-GM,Consumer Discretionary,Services-Misc. Amusement & Recreation,"7,157","14,303","111,303,831",$23.82/$22.07,$32.92/$14.00,$23.75,8.52,1.23%,$2.70,$0.28
51,51,AROW,115,11/24/1993,05/31/2022,2.991304347826087,$0.27,37.5,3,1993,34,NASDAQ-GS,Finance,Major Banks,"54,579","21,987","520,561,113",$32.95/$31.84,$38.24/$30.50,$32.17,10.67,3.35%,$3.05,$1.08
52,52,NSYS,1,08/31/1993,08/31/1993,0.0,$0.06,0.0,0,1993,29,NASDAQ-CM,Technology,Industrial Machinery/Components,"3,478","5,118","32,935,746",$12.28/$11.53,$14.20/$6.94,$11.81,3.95,N/A,$3.11,N/A
53,53,FBIZ,67,12/28/2005,05/06/2022,2.9402985074626864,$0.1975,100.0,2,2005,0,NASDAQ-GS,Finance,Major Banks,"943,918","37,408","259,542,821",$32.69/$30.51,$35.92/$25.70,$31.47,7.57,2.43%,$4.05,$0.79
54,54,LH,1,05/18/2022,05/18/2022,0.0,$0.72,0.0,0,2022,0,NYSE,Health Care,Medical Specialities,"782,604","764,798","22,485,312,000",$242.57/$238.69,$317.17/$212.40,$239.62,11.13,1.23%,$21.79,$2.88
55,55,EXC,90,08/28/2000,05/12/2022,2.9,$0.3375,160.20583190394512,3,2000,22,NASDAQ-GS,Utilities,Power Generation,"7,172,474","6,633,032","42,433,273,800",$43.36/$42.11,$58.21/$40.11,$42.23,16.34,3.24%,$2.65,$1.35
56,56,VRTS,33,07/29/2014,07/28/2022,2.909090909090909,$1.50,82.92682926829269,1,2014,8,NASDAQ-GS,Finance,Investment Managers,"210,808","57,751","1,421,839,426",$193.26/$183.04,$338.80/$161.31,$182.92,7.39,3.42%,$25.73,$6.00
57,57,ONB,82,02/27/2002,05/31/2022,2.963414634146341,$0.14,28.571428571428555,2,2002,20,NASDAQ-GS,Finance,Major Banks,"3,133,960","2,475,860","4,379,737,050",$15.03/$14.60,$20.81/$14.22,$14.55,14.66,3.77%,$1.02,$0.56
58,58,FSTR,23,03/23/2011,09/07/2016,2.869565217391304,$0.04,33.33333333333334,0,2011,11,NASDAQ-GS,Industrials,Metal Fabrications,"13,486","21,218","142,980,868",$13.48/$12.93,$18.97/$12.04,$12.95,42.35,N/A,$0.31,N/A
59,59,LYB,38,05/30/2013,06/03/2022,2.8684210526315788,$6.39,1400.0,1,2013,9,NYSE,Industrials,Industrial Specialties,"3,566,781","2,207,662","29,233,824,704",$89.70/$85.38,$117.22/$83.50,$84.50,5.08,5.44%,$17.56,$4.76
60,60,HNRG,29,12/12/2012,01/30/2020,3.0689655172413794,$0.04,0.0,1,2012,12,NASDAQ-CM,Energy,Coal Mining,"530,174","782,930","191,947,767",$6.23/$5.86,$7.70/$1.99,$6.10,0.0,N/A,$-0.42,N/A
61,61,BALL,1,05/31/2022,05/31/2022,0.0,$0.20,0.0,0,2022,0,NYSE,Industrials,Containers/Packaging,"4,482,662",N/A,"22,893,686,277",$71.66/$66.11,$98.09/$62.90,$65.72,20.93,1.22%,$3.42,$0.80
62,62,GEG,1,06/13/2007,06/13/2007,0.0,$1.20,0.0,0,2007,15,NASDAQ-GS,Health Care,Other Pharmaceuticals,"2,331","52,581","66,035,578",$2.34/$2.22,$2.69/$1.40,$2.23,0.0,N/A,$-0.43,N/A
63,63,GE,37,06/20/2013,06/27/2022,2.918918918918919,$0.08,700.0,1,2013,9,NYSE,Consumer Discretionary,Metal Fabrications,"9,996,274","93,714,654","73,832,606,724",$67.97/$64.42,$116.17/$63.08,$64.07,0.0,0.5%,$-4.58,$0.32
64,64,VLY,52,09/02/2009,06/14/2022,3.0,$0.11,1.4210854715202004e-14,1,2009,22,NASDAQ-GS,Finance,Major Banks,"9,000,918","2,823,346","5,326,333,376",$10.72/$10.45,$15.10/$10.28,$10.45,9.39,4.15%,$1.12,$0.44
65,65,MNSB,2,02/02/2022,05/04/2022,1.5,$0.05,0.0,0,2022,0,NASDAQ-CM,Finance,Major Banks,"18,203","15,403","170,014,860",$23.02/$22.42,$26.85/$21.81,$22.35,8.56,0.88%,$2.63,$0.20
66,66,CGO,195,12/28/2005,06/10/2022,1.015384615384615,$0.10,56.1,2,2005,0,NASDAQ-GS,Finance,Investment Managers,"13,653","24,892","102,580,809",$10.81/$10.58,$17.47/$10.29,$10.50,N/A,11.43%,N/A,$1.20
67,67,TPG,1,05/19/2022,05/19/2022,0.0,$0.44,0.0,0,2022,0,NASDAQ-GS,Finance,"Trusts, Except Educational, Religious, and Charitable","440,673","455,691","2,037,648,460",$26.28/$24.58,$35.40/$23.30,$24.55,N/A,7.42%,N/A,$1.76
68,68,SALM,32,06/13/2012,03/23/2020,3.0,$0.025,42.85714285714283,1,2012,16,NASDAQ-GM,Consumer Discretionary,Broadcasting,"18,204","74,293","66,948,376",$2.49/$2.40,$6.82/$1.91,$2.37,1.58,N/A,$1.56,N/A
69,69,PARAA,66,02/24/2006,06/14/2022,2.9696969696969697,$0.24,100.0,2,2006,16,NASDAQ-GS,Consumer Discretionary,Movies/Entertainment,"156,826","61,254","18,427,963,706",$28.42/$27.22,$51.19/$26.34,$26.90,4.65,3.58%,$6.11,$0.96
70,70,GOODO,12,07/22/2021,06/21/2022,0.9166666666666666,$0.125,0.0,0,2021,1,NASDAQ-GS,Real Estate,Real Estate Investment Trusts,"3,252",N/A,N/A,$22.00/$21.27,$28.99/$21.00,$22.54,N/A,6.65%,N/A,$1.50
71,71,WEN,67,11/03/2005,05/31/2022,3.0,$0.125,100.0,2,2005,22,NASDAQ-GS,Consumer Discretionary,Restaurants,"4,889,009","3,245,913","4,098,540,519",$19.21/$18.34,$24.48/$15.77,$18.26,21.74,2.8%,$0.88,$0.50
72,72,JJSF,71,12/13/2004,06/16/2022,2.9577464788732395,$0.633,100.0,2,2004,18,NASDAQ-GS,Consumer Staples,Specialty Foods,"139,516","108,042","2,677,969,327",$140.27/$135.65,$180.00/$117.45,$135.88,43.1,1.87%,$3.24,$2.532
73,73,CF,36,08/14/2013,05/13/2022,2.9166666666666665,$0.40,150.0,1,2013,9,NYSE,Industrials,Agricultural Chemicals,"8,492,055","2,337,394","17,380,695,310",$85.15/$80.38,$113.48/$43.19,$80.60,10.74,1.81%,$7.76,$1.60
74,74,FMBH,6,02/18/2021,05/17/2022,3.0,$0.22,7.317073170731717,0,2021,22,NASDAQ-GM,Finance,Major Banks,"302,607","44,711","727,363,780",$36.76/$35.05,$45.84/$35.21,$36.15,10.22,2.39%,$3.48,$0.88
75,75,KINS,44,08/26/2011,05/27/2022,2.9318181818181817,$0.04,33.33333333333334,1,2011,11,NASDAQ-CM,Finance,Specialty Insurers,"4,796","13,219","42,580,392",$4.05/$3.90,$8.13/$3.52,$3.92,0.0,3.97%,$-1.55,$0.16
76,76,TXRH,4,09/07/2021,06/07/2022,3.25,$0.46,15.0,0,2021,11,NASDAQ-GS,Consumer Discretionary,Restaurants,"1,571,305","1,258,297","5,245,523,676",$77.44/$73.43,$102.20/$68.58,$73.61,20.97,2.52%,$3.67,$1.84
77,77,CRWS,7,12/10/2020,06/16/2022,3.0,$0.08,437.5,1,2020,12,NASDAQ-CM,N/A,N/A,"6,816","14,777","61,768,920",$6.15/$6.10,$8.03/$5.95,$6.17,6.19,5.23%,$0.99,$0.32
78,78,WDC,31,09/26/2012,04/02/2020,2.935483870967742,$0.50,33.33333333333334,1,2012,10,NASDAQ-GS,Technology,Electronic Components,"2,863,244","4,478,950","14,740,809,193",$47.73/$46.09,$72.15/$43.85,$45.92,8.16,N/A,$5.77,N/A
79,79,SCHL,56,07/31/2008,04/28/2022,2.946428571428572,$0.15,33.33333333333334,2,2008,14,NASDAQ-GS,Consumer Discretionary,Books,"179,977","115,387","1,222,588,987",$35.72/$35.24,$43.71/$32.21,$35.34,35.88,1.7%,$0.99,$0.60
80,80,RCL,28,05/17/2013,03/05/2020,2.9285714285714284,$0.78,108.33333333333334,1,2013,9,NYSE,N/A,N/A,"12,593,533","12,573,701","10,646,975,213",$41.80/$36.08,$98.27/$34.10,$36.07,0.0,N/A,$-20.79,N/A
81,81,ATLC,1,12/29/2009,12/29/2009,0.0,$0.50,0.0,0,2009,13,NASDAQ-GS,Finance,Finance: Consumer Services,"178,704","60,622","544,936,111",$36.96/$34.72,$91.98/$30.58,$34.51,4.8,N/A,$7.61,N/A
82,82,OCC,21,11/03/2010,10/28/2015,2.8095238095238093,$0.02,50.0,0,2010,12,NASDAQ-GM,Industrials,Telecommunications Equipment,"18,850","5,888","30,789,962",$3.90/$3.28,$6.84/$3.26,$3.33,6.96,N/A,$0.56,N/A
83,83,HTLD,76,09/15/2003,06/24/2022,2.960526315789474,$0.02,10000.0,2,2003,19,NASDAQ-GS,Industrials,Trucking Freight/Courier Services,"669,145","281,759","1,105,068,300",$14.18/$13.85,$17.88/$12.78,$13.68,13.46,0.59%,$1.04,$0.08
84,84,SBRA,45,05/12/2011,05/13/2022,2.933333333333333,$0.30,44.51827537926033,1,2011,11,NASDAQ-GS,Real Estate,Real Estate Investment Trusts,"3,710,805","2,722,799","3,388,106,579",$14.79/$14.32,$19.02/$11.44,$14.30,0.0,8.6%,$-0.49,$1.20
85,85,MNRO,36,08/15/2013,06/03/2022,3.0277777777777777,$0.28,18.181818181818187,1,2013,17,NASDAQ-GS,N/A,N/A,"1,013,606","424,973","1,526,868,434",$45.86/$44.08,$65.30/$37.49,$43.72,25.14,2.67%,$1.81,$1.12
86,86,CDK,31,11/26/2014,06/16/2022,2.935483870967742,$0.15,12.5,1,2014,8,NASDAQ-GS,Technology,Retail: Computer Software & Peripheral Equipment,"3,837,372","2,334,039","6,378,811,177",$55.12/$54.42,$54.71/$38.53,$54.66,26.15,1.1%,$2.09,$0.60
87,87,CME,89,03/06/2003,06/09/2022,2.595505617977528,$1.00,480.0,2,2003,19,NASDAQ-GS,Finance,Investment Bankers/Brokers/Service,"1,556,091","1,652,816","75,478,468,380",$210.38/$207.01,$256.94/$185.79,$208.46,27.42,1.92%,$7.66,$4.00
88,88,LMST,1,06/16/2022,06/16/2022,3.0,$0.05,0.0,0,2022,16,NASDAQ-CM,Finance,Major Banks,"2,905","4,458","139,637,916",$18.36/$18.32,$23.70/$16.41,$18.41,9.16,1.07%,$2.00,$0.20
89,89,ROST,5,06/07/2021,06/06/2022,3.0,$0.31,8.771929824561411,0,2021,28,NASDAQ-GS,Consumer Discretionary,Clothing/Shoe/Accessory Stores,"10,913,172","4,263,630","27,129,793,870",$78.27/$74.70,$127.58/$69.75,$73.98,17.27,1.7%,$4.49,$1.24
90,90,CGABL,6,07/29/2021,10/31/2022,2.5,$0.2890625,0.0,0,2021,1,NASDAQ-GS,N/A,N/A,"11,639",N/A,N/A,$18.41/$18.11,$26.65/$17.60,$18.175,N/A,6.36%,N/A,$1.1563
91,91,SSBI,64,08/08/2006,05/11/2022,2.953125,$0.12,22.22222222222223,2,2006,16,NASDAQ-GM,Finance,Major Banks,"2,836","3,219","101,790,736",$15.58/$15.21,$20.00/$12.56,$15.46,6.63,3.18%,$2.29,$0.48
92,92,GENC,1,12/14/1995,12/14/1995,0.0,$0.05,0.0,0,1995,27,NASDAQ-GM,Industrials,Construction/Ag Equipment/Trucks,"28,416","8,983","144,085,211",$10.10/$9.82,$12.95/$9.43,$9.97,70.21,N/A,$0.14,N/A
93,93,MMC,36,07/09/2013,04/05/2022,2.9166666666666665,$0.535,15.053763440860209,1,2013,9,NYSE,Finance,Specialty Insurers,"6,890,003","1,764,972","79,718,956,783",$159.77/$155.25,$183.14/$137.04,$154.58,25.13,1.42%,$6.32,$2.14
94,94,HSKA,3,03/28/2012,09/26/2012,2.0,$0.10,0.0,0,2012,10,NASDAQ-CM,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,"125,189","89,374","1,021,008,654",$94.88/$92.08,$275.94/$79.96,$92.24,0.0,N/A,$-1.27,N/A
95,95,CRAI,23,11/16/2016,05/27/2022,2.869565217391304,$0.31,21.428571428571416,1,2016,6,NASDAQ-GS,Consumer Discretionary,Other Consumer Services,"93,312","31,890","657,177,251",$89.91/$85.35,$116.71/$78.35,$84.95,15.83,1.48%,$5.63,$1.24
96,96,PG,36,07/17/2013,04/21/2022,2.9166666666666665,$0.913,9.987357774968388,1,2013,9,NYSE,Consumer Discretionary,Package Goods/Cosmetics,"19,440,635","6,574,455","346,338,498,998",$145.24/$143.12,$165.35/$129.50,$142.30,25.19,2.64%,$5.73,$3.653
97,97,MERC,27,12/23/2015,06/28/2022,3.0,$0.075,15.384615384615389,1,2015,25,NASDAQ-GS,Basic Materials,Paper,"212,032","369,028","857,738,421",$13.21/$12.70,$17.17/$9.51,$12.83,3.4,2.24%,$3.82,$0.30
98,98,RAVE,13,10/08/1997,10/04/2000,2.769230769230769,$0.06,0.0,0,1997,25,NASDAQ-CM,Consumer Discretionary,Restaurants,"136,379","116,699","19,085,198",$1.10/$0.98,$1.80/$0.82,$0.9844,8.83,N/A,$0.12,N/A
99,99,FMAO,20,06/22/2017,03/31/2022,2.85,$0.19,7.692307692307708,1,2017,5,NASDAQ-CM,Finance,Savings Institutions,"1,476,623","59,117","437,837,739",$35.48/$33.27,$42.13/$21.27,$34.06,15.37,2.11%,$2.18,$0.76
100,100,AVY,36,08/30/2013,05/31/2022,2.9166666666666665,$0.75,20.689655172413808,1,2013,9,NYSE,Miscellaneous,Office Equipment/Supplies/Services,"745,316","592,553","13,511,457,190",$165.38/$156.91,$229.24/$151.62,$155.49,18.94,1.93%,$8.73,$3.00
101,101,EOG,40,07/15/2013,07/14/2022,2.7,$0.75,385.4368932038835,1,2013,9,NYSE,Energy,Oil & Gas Production,"11,648,740","4,423,057","64,774,052,979",$113.26/$107.87,$147.99/$62.81,$107.17,14.77,2.71%,$7.49,$3.00
